week,gym19,gym20,outdoor19,outdoor20,weight19,weight20
01.06.19,91,95,77,22,100,89
01.13.19,86,91,67,18,90,81
01.20.19,85,93,20,22,89,77
01.27.19,80,87,20,12,86,72
02.03.19,76,78,33,9,85,75
02.10.19,76,82,54,37,81,72
02.17.19,83,88,74,27,89,86
02.24.19,74,78,72,35,84,78
03.03.19,76,77,68,18,83,77
03.10.19,74,81,89,29,89,62
03.17.19,72,100,69,100,88,48
03.24.19,74,62,56,59,89,58
03.31.19,70,54,76,65,90,66
04.07.19,68,52,55,64,90,80
04.14.19,69,53,79,59,83,80
04.21.19,67,53,49,56,90,88
04.28.19,67,53,62,67,86,93
05.05.19,67,58,49,56,86,99
05.12.19,67,61,99,47,82,93
05.19.19,67,75,50,72,90,99
05.26.19,74,66,88,71,92,100
06.02.19,76,63,56,53,90,88
06.09.19,76,75,36,42,92,93
06.16.19,75,75,100,64,93,95
06.23.19,76,74,74,44,93,92
06.30.19,71,74,44,55,82,93
07.07.19,71,68,78,51,92,92
07.14.19,71,68,64,82,89,85
07.21.19,70,64,29,65,90,84
07.28.19,71,64,65,49,84,83
08.04.19,74,65,58,57,79,77
08.11.19,75,65,78,85,83,77
08.18.19,75,68,82,54,74,71
08.25.19,75,67,34,70,69,71
09.01.19,73,65,59,80,69,74
09.08.19,65,63,64,60,71,70
09.15.19,65,61,83,68,69,71
09.22.19,63,61,71,46,66,67
09.29.19,66,61,33,52,69,72
10.06.19,63,57,20,25,71,71
10.13.19,63,62,65,51,71,72
10.20.19,62,62,26,59,68,74
10.27.19,60,61,32,41,62,69
11.03.19,67,49,32,37,68,52
11.10.19,70,64,32,49,64,64
11.17.19,80,68,38,87,66,66
11.24.19,82,65,54,55,57,57
12.01.19,75,65,56,49,64,68
12.08.19,69,62,26,72,66,62
12.15.19,69,58,52,40,59,61
12.22.19,85,56,51,68,71,54
12.29.19,100,72,41,44,94,82
